project,github_repo,github_url,local_commit_count,path
current,currentussy,https://github.com/mojomast/currentussy,1,/home/mojo/builds/current
cuticula,cuticulaussy,https://github.com/mojomast/cuticulaussy,1,/home/mojo/builds/cuticula
cutset,cutsetussy,https://github.com/mojomast/cutsetussy,1,/home/mojo/builds/cutset
cyclara,cyclaraussy,https://github.com/mojomast/cyclaraussy,1,/home/mojo/builds/cyclara
cyclone,cycloneussy,https://github.com/mojomast/cycloneussy,1,/home/mojo/builds/cyclone
decibella,decibellaussy,https://github.com/mojomast/decibellaussy,1,/home/mojo/builds/decibella
dendro,dendroussy,https://github.com/mojomast/dendroussy,1,/home/mojo/builds/dendro
derma,dermaussy,https://github.com/mojomast/dermaussy,1,/home/mojo/builds/derma
diopter,diopterussy,https://github.com/mojomast/diopterussy,1,/home/mojo/builds/diopter
dosemate,dosemateussy,https://github.com/mojomast/dosemateussy,1,/home/mojo/builds/dosemate
driftline,driftlineussy,https://github.com/mojomast/driftlineussy,1,/home/mojo/builds/driftline
driftnet,driftnetussy,https://github.com/mojomast/driftnetussy,1,/home/mojo/builds/driftnet
dualia,dualiaussy,https://github.com/mojomast/dualiaussy,1,/home/mojo/builds/dualia
ebbinghaus,ebbinghausussy,https://github.com/mojomast/ebbinghausussy,1,/home/mojo/builds/ebbinghaus
effusa,effusaussy,https://github.com/mojomast/effusaussy,1,/home/mojo/builds/effusa
egressa,egressaussy,https://github.com/mojomast/egressaussy,1,/home/mojo/builds/egressa
elasta,elastaussy,https://github.com/mojomast/elastaussy,1,/home/mojo/builds/elasta
electra,electraussy,https://github.com/mojomast/electraussy,1,/home/mojo/builds/electra
enamela,enamelaussy,https://github.com/mojomast/enamelaussy,1,/home/mojo/builds/enamela
endemic,endemicussy,https://github.com/mojomast/endemicussy,1,/home/mojo/builds/endemic
entrain,entrainussy,https://github.com/mojomast/entrainussy,1,/home/mojo/builds/entrain
epigenetic,epigeneticussy,https://github.com/mojomast/epigeneticussy,1,/home/mojo/builds/epigenetic
epistaxa,epistaxaussy,https://github.com/mojomast/epistaxaussy,1,/home/mojo/builds/epistaxa
equilibria,equilibriaussy,https://github.com/mojomast/equilibriaussy,1,/home/mojo/builds/equilibria
escutcheon,escutcheonussy,https://github.com/mojomast/escutcheonussy,1,/home/mojo/builds/escutcheon
ethon,ethonussy,https://github.com/mojomast/ethonussy,1,/home/mojo/builds/ethon
ethyleno,ethylenoussy,https://github.com/mojomast/ethylenoussy,1,/home/mojo/builds/ethyleno
eutropha,eutrophaussy,https://github.com/mojomast/eutrophaussy,1,/home/mojo/builds/eutropha
exempla,exemplaussy,https://github.com/mojomast/exemplaussy,1,/home/mojo/builds/exempla
extingua,extinguaussy,https://github.com/mojomast/extinguaussy,1,/home/mojo/builds/extingua
fascina,fascinaussy,https://github.com/mojomast/fascinaussy,1,/home/mojo/builds/fascina
fatigue,fatigueussy,https://github.com/mojomast/fatigueussy,1,/home/mojo/builds/fatigue
ferment,fermentussy,https://github.com/mojomast/fermentussy,1,/home/mojo/builds/ferment
fireline,firelineussy,https://github.com/mojomast/firelineussy,1,/home/mojo/builds/fireline
fittsa,fittsaussy,https://github.com/mojomast/fittsaussy,1,/home/mojo/builds/fittsa
flora,floraussy,https://github.com/mojomast/floraussy,1,/home/mojo/builds/flora
foleya,foleyaussy,https://github.com/mojomast/foleyaussy,1,/home/mojo/builds/foleya
forage,forageussy,https://github.com/mojomast/forageussy,1,/home/mojo/builds/forage
forge,forgeussy,https://github.com/mojomast/forgeussy,1,/home/mojo/builds/forge
formica,formicaussy,https://github.com/mojomast/formicaussy,1,/home/mojo/builds/formica
fossilrecord,fossilrecordussy,https://github.com/mojomast/fossilrecordussy,1,/home/mojo/builds/fossilrecord
framora,framoraussy,https://github.com/mojomast/framoraussy,1,/home/mojo/builds/framora
fulgura,fulguraussy,https://github.com/mojomast/fulguraussy,1,/home/mojo/builds/fulgura
gamut,gamutussy,https://github.com/mojomast/gamutussy,1,/home/mojo/builds/gamut
gatewise,gatewiseussy,https://github.com/mojomast/gatewiseussy,1,/home/mojo/builds/gatewise
gemma,gemmaussy,https://github.com/mojomast/gemmaussy,1,/home/mojo/builds/gemma
glacier,glacierussy,https://github.com/mojomast/glacierussy,1,/home/mojo/builds/glacier
granula,granulaussy,https://github.com/mojomast/granulaussy,1,/home/mojo/builds/granula
graviton,gravitonussy,https://github.com/mojomast/gravitonussy,1,/home/mojo/builds/graviton
gridiron,gridironussy,https://github.com/mojomast/gridironussy,1,/home/mojo/builds/gridiron
grooma,groomaussy,https://github.com/mojomast/groomaussy,1,/home/mojo/builds/grooma
haccp,haccpussy,https://github.com/mojomast/haccpussy,1,/home/mojo/builds/haccp
hammera,hammeraussy,https://github.com/mojomast/hammeraussy,1,/home/mojo/builds/hammera
haptena,haptenaussy,https://github.com/mojomast/haptenaussy,1,/home/mojo/builds/haptena
hazarda,hazardaussy,https://github.com/mojomast/hazardaussy,1,/home/mojo/builds/hazarda
hitch,hitchussy,https://github.com/mojomast/hitchussy,1,/home/mojo/builds/hitch
hoist,hoistussy,https://github.com/mojomast/hoistussy,1,/home/mojo/builds/hoist
hone,honeussy,https://github.com/mojomast/honeussy,1,/home/mojo/builds/hone
horolog,horologussy,https://github.com/mojomast/horologussy,1,/home/mojo/builds/horolog
hospitia,hospitiaussy,https://github.com/mojomast/hospitiaussy,1,/home/mojo/builds/hospitia
hysteron,hysteronussy,https://github.com/mojomast/hysteronussy,1,/home/mojo/builds/hysteron
ichnite,ichniteussy,https://github.com/mojomast/ichniteussy,1,/home/mojo/builds/ichnite
ichno,ichnoussy,https://github.com/mojomast/ichnoussy,1,/home/mojo/builds/ichno
immune,immunussy,https://github.com/mojomast/immunussy,1,/home/mojo/builds/immune
infera,inferaussy,https://github.com/mojomast/inferaussy,1,/home/mojo/builds/infera
inkblot,inkblotussy,https://github.com/mojomast/inkblotussy,1,/home/mojo/builds/inkblot
interfera,interferaussy,https://github.com/mojomast/interferaussy,1,/home/mojo/builds/interfera
isobar,isobarussy,https://github.com/mojomast/isobarussy,1,/home/mojo/builds/isobar
ixodia,ixodiaussy,https://github.com/mojomast/ixodiaussy,1,/home/mojo/builds/ixodia
kanoa,kanoaussy,https://github.com/mojomast/kanoaussy,1,/home/mojo/builds/kanoa
keel,keelussy,https://github.com/mojomast/keelussy,1,/home/mojo/builds/keel
kerfwise,kerfwiseussy,https://github.com/mojomast/kerfwiseussy,1,/home/mojo/builds/kerfwise
kinesia,kinesiaussy,https://github.com/mojomast/kinesiaussy,1,/home/mojo/builds/kinesia
kinship,kinshipussy,https://github.com/mojomast/kinshipussy,1,/home/mojo/builds/kinship
kintsugi,kintsugiussy,https://github.com/mojomast/kintsugiussy,1,/home/mojo/builds/kintsugi
knit,knitussy,https://github.com/mojomast/knitussy,1,/home/mojo/builds/knit
kompressi,kompressiussy,https://github.com/mojomast/kompressiussy,1,/home/mojo/builds/kompressi
koppen,koppenussy,https://github.com/mojomast/koppenussy,1,/home/mojo/builds/koppen
kuleshov,kuleshovussy,https://github.com/mojomast/kuleshovussy,1,/home/mojo/builds/kuleshov
laminar,laminarussy,https://github.com/mojomast/laminarussy,1,/home/mojo/builds/laminar
laminate,laminateussy,https://github.com/mojomast/laminateussy,1,/home/mojo/builds/laminate
lanugo,lanugoussy,https://github.com/mojomast/lanugoussy,1,/home/mojo/builds/lanugo
legiona,legionaussy,https://github.com/mojomast/legionaussy,1,/home/mojo/builds/legiona
lehr,lehrussy,https://github.com/mojomast/lehrussy,1,/home/mojo/builds/lehr
lensara,lensaraussy,https://github.com/mojomast/lensaraussy,1,/home/mojo/builds/lensara
levain,levainussy,https://github.com/mojomast/levainussy,1,/home/mojo/builds/levain
licheno,lichenoussy,https://github.com/mojomast/lichenoussy,1,/home/mojo/builds/licheno
limno,limnoussy,https://github.com/mojomast/limnoussy,1,/home/mojo/builds/limno
loadpath,loadpathussy,https://github.com/mojomast/loadpathussy,1,/home/mojo/builds/loadpath
lossica,lossicaussy,https://github.com/mojomast/lossicaussy,1,/home/mojo/builds/lossica
ludon,ludonussy,https://github.com/mojomast/ludonussy,1,/home/mojo/builds/ludon
luminara,luminaraussy,https://github.com/mojomast/luminaraussy,1,/home/mojo/builds/luminara
maillara,maillaraussy,https://github.com/mojomast/maillaraussy,1,/home/mojo/builds/maillara
maneuver,maneuverussy,https://github.com/mojomast/maneuverussy,1,/home/mojo/builds/maneuver
marangoni,marangoniussy,https://github.com/mojomast/marangoniussy,1,/home/mojo/builds/marangoni
marksman,marksmanussy,https://github.com/mojomast/marksmanussy,1,/home/mojo/builds/marksman
mash,mashussy,https://github.com/mojomast/mashussy,1,/home/mojo/builds/mash
memetix,memetixussy,https://github.com/mojomast/memetixussy,1,/home/mojo/builds/memetix
meridian,meridianussy,https://github.com/mojomast/meridianussy,1,/home/mojo/builds/meridian
metamera,metameraussy,https://github.com/mojomast/metameraussy,1,/home/mojo/builds/metamera
metra,metraussy,https://github.com/mojomast/metraussy,1,/home/mojo/builds/metra
migration,migrationussy,https://github.com/mojomast/migrationussy,1,/home/mojo/builds/migration
mint,mintussy,https://github.com/mojomast/mintussy,1,/home/mojo/builds/mint
modesa,modesaussy,https://github.com/mojomast/modesaussy,1,/home/mojo/builds/modesa
mordanta,mordantaussy,https://github.com/mojomast/mordantaussy,1,/home/mojo/builds/mordanta
morphema,morphemaussy,https://github.com/mojomast/morphemaussy,1,/home/mojo/builds/morphema
morphica,morphicaussy,https://github.com/mojomast/morphicaussy,1,/home/mojo/builds/morphica
